Peromyscus maniculatus rufinus
Peromyscus maniculatus coolidgei
Peromyscus sejugis
Peromyscus slevini
Tamias canipes
Tamias dorsalis
Tamias minimus
Tamias quadrivittatus
Poliocitellus franklinii
Xerospermophilus spilosoma
Otospermophilus variegatus
Simosciurus stramineus
Tamias striatus
Microsciurus flaviventer
Cynomys gunnisoni
Cynomys ludovicianus
Glaucomys sabrinus
Sciurillus pusillus
Ammospermophilus interpres
Ammospermophilus harrisii
Ammospermophilus leucurus
Canis rufus
Equus sp.
Steno bredanensis
Sorex palustris
Gorilla beringei graueri
Cervus elaphus hippelaphus
Mus musculus wagneri
Leopardus tigrinus
Leopardus geoffroyi
Cheirogaleus major
Eulemur fulvus collaris
Mirza coquereli
Microtus arvalis
Phodopus campbelli
Paraxerus cepapi
Pedetes capensis surdaster
Neacomys spinosus
Euryoryzomys macconnelli
Oligoryzomys microtis
Euryoryzomys nitidus
Oecomys bicolor
Oecomys roberti
Oecomys superans
Oecomys sp. JUR 354
Oecomys trinitatis
Scolomys juruaense
Leontocebus fuscicollis fuscicollis
Brachylagus idahoensis
Bunolagus monticularis
Lepus americanus
Lepus californicus
Romerolagus diazi
Sylvilagus aquaticus
Psammomys obesus
Capra falconeri
Urva auropunctata
Gulo gulo
Bassaricyon gabbii
Capreolus pygargus
Sciurus sp.
Mesoplodon densirostris
Pontoporia blainvillei
Berardius bairdii
Hyperoodon ampullatus
Mesoplodon bidens
Orcaella brevirostris
Platanista minor
Mylodon darwinii
Mico emiliae
Tamandua tetradactyla
Cabassous unicinctus
Jaculus orientalis
Hylomys suillus
Hylomys suillus siamensis
Hylomys suillus microtinus
Hylomys suillus maxi
Hylomys suillus suillus
Hylomys suillus dorsalis
Podogymnura truei
Nyctimene albiventer
Manis sp.
Tachyglossus aculeatus aculeatus
unclassified Delphinidae
Delphinidae gen. sp.
Gerbillurus vallinus
Rhinolophus darlingi
Tachyoryctes splendens
Cephalophus silvicultor
Chalinolobus morio
Sylvilagus nuttallii
Sylvilagus obscurus
Sylvilagus palustris
Dipodomys agilis
Thomomys mazama
Thomomys monticola
Thomomys umbrinus
Urocitellus columbianus
Thomomys bottae actuosus
Thomomys bottae analogus
Thomomys bottae cultellus
Thomomys bottae fulvus
Thomomys bottae guadalupensis
Thomomys bottae opulentus
Thomomys bottae pervagus
Thomomys bottae ruidosae
Talpa occidentalis
Artibeus fimbriatus
Artibeus fraterculus
Artibeus hirsutus
Artibeus inopinatus
Artibeus intermedius
Artibeus anderseni
Artibeus glaucus watsoni
Phoca vitulina vitulina
Catagonus wagneri
Myotis myotis
Nyctalus noctula
Jaculus jaculus
Castor canadensis
Aplodontia rufa
Graphiurus murinus
Lophuromys flavopunctatus
Nesokia indica
Mesoplodon hectori
Mesoplodon mirus
Mesoplodon stejnegeri
Tasmacetus shepherdi
Callithrix geoffroyi
Mico humeralifer
Gerbillus henleyi
Subulo gouazoubira
Crocidura suaveolens
Menetes berdmorei
Nesomys rufus
Neomys anomalus
Talpa romana
Sicista tianschanica
Rhizomys pruinosus
Eliomys quercinus
Hesperosciurus griseus
Octodon lunatus
Urocitellus brunneus
undetermined Sciuridae 'chipmunks'
Petrogale brachyotis
Petrogale burbidgei
Petrogale coenensis
Petrogale godmani
Petrogale herberti
Petrogale inornata
Petrogale lateralis
Petrogale mareeba
Petrogale penicillata
Petrogale sharmani
Petrogale xanthopus xanthopus
Petrogale xanthopus celeris
Lemniscomys barbarus
Colobus angolensis
Pygathrix nemaeus
Allenopithecus nigroviridis
Trachypithecus vetulus
Trachypithecus francoisi
Trachypithecus obscurus
Apodemus flavicollis
Macaca nigra
Macaca silenus
Macaca thibetana
Urocyon cinereoargenteus
Mydaus marchei
Bassariscus astutus
Mustela frenata
Ictonyx striatus
Galerella pulverulenta
Leptonycteris curasoae
Dryomys nitedula
Glirulus japonicus
Sciurus vulgaris
Sciurus lis
Pteromys volans
Petaurista leucogenys
Petaurista petaurista
Potorous longipes
Ctenomys talarum
Myrmecobius fasciatus
Tapirus bairdii
Ovis nivicola
Calomys callosus
Calomys laucha
Calomys musculinus
Reithrodontomys fulvescens
Sigmodon ochrognathus
Neotoma lepida
Necromys lactens
Baiomys taylori
Eligmodontia typus
Nelsonia neotomodon
Nyctomys sumichrasti
Ochrotomys nuttalli
Oxymycterus rufus
Phyllotis darwini
Reithrodon auritus
Scotinomys teguina
Mystromys albicaudatus
Phenacomys intermedius
Peromyscus boylii
Peromyscus mexicanus
Habromys lophurus
Isthmomys pirrensis
Podomys floridanus
Bubalus mindorensis
Bubalus quarlesi
Hexaprotodon liberiensis
Peromyscus aztecus
Peromyscus aztecus aztecus
Peromyscus aztecus evides
Peromyscus aztecus oaxacensis
Peromyscus hylocetes
Peromyscus spicilegus
Peromyscus winkelmanni
unclassified Primates
Aotus nigriceps
Aotus vociferans
Leontopithecus chrysomelas
Callithrix aurita
Mico mauesi
Callithrix penicillata
Mus musculus molossinus
Axis porcinus
Acerodon celebensis
Aproteles bulmerae
Cynopterus brachyotis
Eidolon dupreanum
Eonycteris spelaea
Epomophorus wahlbergi
Hipposideros galeritus
Lissonycteris angolensis
Megaloglossus woermanni
Melonycteris fardoulisi
Molossus sinaloae
Notopteris macdonaldi
Nyctimene robinsoni
Pteralopex atrata
Pteropus admiralitatum
Rousettus amplexicaudatus
Syconycteris australis
Thoopterus nigrescens
unclassified Muridae
Mus musculus x Cricetulus griseus hybrid cell line
Leontopithecus chrysopygus
Barbastella barbastellus
Epomophorus crypturus
Eptesicus nilssonii
Eptesicus serotinus
Hipposideros diadema
Kerivoula papillosa
Leptonycteris nivalis
Mormoops megalophylla
Myotis adversus
Myotis bechsteinii
Myotis lucifugus
Nyctalus lasiopterus
Nyctalus leisleri
Nycteris thebaica
Nyctophilus gouldi
Pipistrellus kuhlii
Pipistrellus nathusii
Pipistrellus pipistrellus
Pteronotus parnellii
Rhinolophus affinis
Rhinolophus clivosus
Rhinolophus ferrumequinum
Rhinolophus sedulus
Saccopteryx bilineata
Tadarida teniotis
Vespertilio murinus
Natalus tumidirostris
Murina suilla
Addax nasomaculatus
Alcelaphus buselaphus
Alcelaphus buselaphus jacksoni
Alcelaphus caama
Alcelaphus lichtensteini
Antidorcas marsupialis
Antilope cervicapra
Beatragus hunteri
Connochaetes gnou
Gazella subgutturosa
Kobus kob
Kobus leche
Kobus megaceros
Kobus vardonii
Oryx dammah
Ourebia ourebi
Pantholops hodgsonii
Procapra picticaudata
Pseudois nayaur
Raphicerus campestris
Damaliscus lunatus jimela
Damaliscus lunatus lunatus
Oryx gazella callotis
Pelea capreolus
Redunca arundinum
Redunca fulvorufula
Redunca redunca
Ovis vignei
Auliscomys sublimis
Phyllotis amicus
Phyllotis andium
Phyllotis limatus
Phyllotis magister
Phyllotis osgoodi
Phyllotis osilae
Phyllotis wolffsohni
Phyllotis xanthopygus
Oryctolagus sp.
Antechinomys laniger
Ningaui timealeyi
Chlorocebus pygerythrus
Chlorocebus sabaeus
Chlorocebus tantalus
Mus musculoides
Acomys sp.
Acomys dimidiatus
Acomys ignitus
Acomys russatus
Acomys spinosissimus
Planigale maculata maculata
Sylvilagus transitionalis
Crocidura beatus
